label,oid,gid,c, wbcc, wrn, i, nfb, sscore, len, imn, svtype, wbrc, im, vpc, wbfc, wcn
0,1022:2309351000444123570019156421,777601145805733892,0, 0, 19, 0, 0, 100, 1125, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351001014123619046352432,777595334580764673,0, 0, 5, 0, 0, 100, 412, 3, 3, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123577198868330,777601935141765123,0, 19, 0, 0, 0, 50, 87, 1, 9000, 115, 1, 106351, 63, 26
0,1022:2309614123549131498460,777601326865448967,0, 0, 0, 0, 0, 50, 350, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123691825890771,777602949289345026,0, 0, 24, 0, 0, 50, 2727, 3, -1, 1, 1, 0, 0, 0
0,1022:2309614123544639410422,777600455926611969,0, 0, 0, 0, 0, 50, 616, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123573465309787,777602099020038145,0, 0, 0, 0, 0, 50, 114, 0, 1000, 0, 0, 0, 0, 0
1,1022:2309351000064123575140413505,777601146342604805,0, 0, 8, 0, 0, 50, 944, 4, 2, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123646706584704,777602900434092033,0, 0, 0, 0, 0, 50, 358, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351000634123567783558773,777595334580764673,0, 0, 4, 0, 0, 100, 452, 3, 3, 0, 1, 0, 0, 0
0,1022:2309351002844123668061001011,777605031543177220,0, 0, 8, 0, 0, 55, 1528, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123684964032955,777582190638661633,0, 0, 11, 0, 0, 50, 313, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123554650382125,777566261146025985,0, 1575, 0, 0, 0, 50, 30, 9, 9000, 5347, 1, 0, 9256, 0
0,1022:2309614123552931542615,777599784032665601,0, 0, 0, 0, 0, 50, 2038, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123557607060288,777600886230220801,0, 0, 0, 0, 0, 50, 91, 1, -1, 1, 1, 1078820, 1, 3661
0,1022:2309614123565300559739,777601023667601411,0, 0, 0, 0, 0, 50, 932, 2, -1, 0, 1, 0, 0, 0
1,1022:2309614123667314405324,777602980830511106,0, 0, 7, 0, 0, 50, 765, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123612197036212,777603326306942979,0, 0, 1, 0, 0, 50, 929, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123603555496988,777598100539703300,0, 22, 0, 0, 0, 100, 148, 1, 3, 12, 1, 0, 19, 0
0,1022:2309351000454123556412822855,777589677437747201,0, 0, 8, 0, 0, 100, 229, 3, 3, 0, 1, 0, 0, 0
0,1022:2309351000064123638122067863,777601049034752007,0, 0, 13, 0, 0, 50, 509, 1, 2, 0, 1, 0, 0, 0
0,1022:2309614123641632686737,777596570323386369,0, 0, 22, 0, 0, 50, 1898, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351000444123550305934841,777582190638661633,0, 0, 1, 0, 0, 100, 300, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123544568106460,777600699531788289,0, 0, 0, 0, 0, 50, 224, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123676034395724,777603794458378241,0, 0, 27, 0, 0, 50, 739, 0, -1, 0, 0, 0, 0, 0
1,1022:2309614123672272075457,777589791254380547,0, 0, 397, 0, 0, 50, 1082, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351000494123647286630765,777599070665441287,0, 0, 8, 0, 0, 100, 2098, 1, 3, 0, 1, 0, 0, 0
0,1022:2309614123686234927659,777604895043747845,0, 0, 17, 0, 0, 50, 1069, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351000494123558967126555,777276693641428993,0, 0, 3, 0, 0, 100, 545, 1, 3, 0, 1, 0, 0, 0
0,1022:2309614123654916055465,777604479639879682,0, 0, 4, 0, 0, 50, 910, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123574896340321,777593020802924545,0, 1, 0, 0, 0, 50, 43, 1, 3, 8, 1, 6755110, 11, 9283
0,1022:2309614123613295957700,777603295571083268,0, 0, 1, 0, 0, 50, 359, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123538595415672,777599245685358594,0, 0, 0, 0, 0, 50, 1045, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351000444123635525787812,777601523360202756,0, 0, 701, 0, 0, 100, 698, 1, 3, 0, 1, 0, 0, 0
0,1022:2309614123629423073787,777599065967820803,0, 0, 27, 0, 0, 50, 984, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123659357783634,777602980830511106,0, 0, 16, 0, 0, 50, 755, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123647445077553,777595066282147843,0, 1001, 0, 0, 0, 50, 40, 4, 9000, 1215, 1, 0, 201, 0
1,1022:2309614123566093295625,777600494447099908,0, 0, 0, 0, 0, 50, 2281, 2, -1, 0, 1, 0, 0, 0
0,1022:2309614123558400907124,777601607783153666,0, 0, 0, 0, 0, 50, 1333, 4, -1, 0, 1, 0, 0, 0
1,1022:2309614123530861096060,777600759124459521,0, 0, 0, 0, 0, 50, 561, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123659617833366,777602986870308865,0, 0, 12, 0, 0, 50, 2646, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123549869720787,777599070665441287,0, 0, 0, 0, 0, 50, 2156, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351000194123593796618251,777596973379223555,0, 0, 15, 0, 0, 100, 950, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123688357213347,777600572964470788,0, 0, 36, 0, 0, 50, 1448, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351002844123574985221989,777588771065430018,0, 0, 130, 0, 0, 55, 2169, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351000454123544643604776,777600943271182338,0, 0, 5, 0, 0, 100, 1347, 2, 3, 0, 1, 0, 0, 0
0,1022:2309614123539669151355,777600469482602499,0, 0, 0, 0, 0, 50, 432, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123542202490688,777599067981086722,0, 0, 0, 0, 0, 50, 1447, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123541694973878,777596542540316673,0, 0, 0, 0, 0, 50, 743, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351001234123523995012590,777593246152916994,0, 0, 5, 0, 0, 100, 505, 0, 3, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123674187374221,777595411757531137,0, 29, 0, 0, 0, 100, 99, 1, 3, 94, 1, 1221308, 158, 734
0,1022:2309614123670221090574,777604765255204868,0, 0, 17, 0, 0, 50, 1268, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123538775752889,777594782409031682,0, 0, 0, 0, 0, 50, 926, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123672251090404,777603588031512578,0, 0, 8, 0, 0, 50, 342, 0, -1, 0, 0, 0, 0, 0
1,1022:2309614123555255207562,777601539734765570,0, 0, 0, 0, 0, 50, 1633, 4, -1, 0, 1, 0, 0, 0
0,1022:2309614123552440802085,777600071795474433,0, 0, 0, 0, 0, 50, 1225, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123552960903161,777581744633151493,0, 0, 0, 0, 0, 50, 279, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351001814123543397875065,777595384643977218,0, 0, 8, 0, 0, 50, 1389, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123524284425643,777599784032665601,0, 0, 0, 0, 0, 50, 2038, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123640881895535,777603915791204357,0, 0, 1, 0, 0, 50, 520, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123550297530448,777599245685358594,0, 0, 0, 0, 0, 50, 1056, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123652893069145,777593936704700417,0, 1, 0, 0, 0, 50, 126, 1, 3, 3, 1, 928591, 1, 1122
0,1042015:articleMblog_4123600162286303,777595411757531137,0, 0, 0, 0, 0, 50, 93, 1, 3, 0, 1, 1221186, 5, 734
0,1022:2309614123555129346101,777600071795474433,0, 0, 0, 0, 0, 50, 1225, 1, -1, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123668902347654,776097547281760433,0, 0, 0, 0, 0, 50, 111, 1, 1, 4, 1, 1890097, 1, 573
1,1022:2309614123663224963731,777604882829934595,0, 0, 26, 0, 0, 50, 267, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123616148118858,777601146342604805,0, 0, 13, 0, 0, 50, 1062, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123610137672524,777602084927176705,0, 0, 21, 0, 0, 50, 455, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351001954123570740569164,777600475656617989,0, 0, 1, 0, 0, 90, 1880, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123549471254853,777598100808138757,0, 0, 0, 0, 0, 50, 1096, 0, -1, 0, 0, 0, 0, 0
1,1022:2309614123674289565541,777601586576752641,0, 0, 25, 0, 0, 50, 715, 2, -1, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123659142784816,777591401331818498,0, 0, 0, 0, 0, 50, 123, 1, -1, 0, 1, 888767, 0, 1965
0,1022:2309351000024123646183511787,777604479639879682,0, 1, 12, 0, 0, 100, 937, 0, 3, 0, 0, 0, 0, 1
0,1022:2309614123550893128896,777599784032665601,0, 0, 0, 0, 0, 50, 2218, 1, -1, 0, 1, 0, 0, 0
1,1022:2309351000444123658237928615,777603536357687301,0, 0, 29, 0, 0, 100, 412, 0, 3, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123609511626761,777539808037175301,0, 8, 0, 0, 0, 60, 32, 1, 3, 4, 1, 441297, 20, 656
0,1022:2309614123639686524362,777581744633151493,0, 0, 8, 0, 0, 50, 291, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123613304346448,777602957879279621,0, 0, 42, 0, 0, 50, 1026, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123630157077380,777397227066753025,0, 0, 16, 0, 0, 50, 86, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123629725058228,777601026754609159,0, 0, 39, 0, 0, 50, 503, 1, -1, 1, 1, 0, 0, 0
0,1022:2309614123562293203760,777593412180246531,0, 0, 0, 0, 0, 50, 1113, 1, -1, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123580540766975,777588771065430018,0, 3, 0, 0, 0, 60, 132, 3, 1, 0, 1, 0, 22, 0
0,1042015:articleMblog_4123572995391843,777600725840035841,0, 2, 0, 0, 0, 50, 53, 1, 1000, 0, 1, 3081316, 7, 3222
0,1022:2309614123640928052236,777603649637449729,0, 0, 8, 0, 0, 50, 1068, 0, -1, 0, 0, 0, 0, 0
1,1022:2309351000124123556811246526,777597323419058177,0, 0, 4, 0, 0, 100, 1682, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123652378461235,777604558962556932,0, 0, 50, 0, 0, 50, 676, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123543259468126,777600318621876226,0, 0, 0, 0, 0, 50, 976, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123538981276681,777543948786728962,0, 0, 0, 0, 0, 50, 2662, 6, -1, 0, 1, 0, 0, 0
0,1022:2309614123627208443808,777601523360202756,0, 0, 19, 0, 0, 50, 1454, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123689389025583,777604882829934595,0, 0, 35, 0, 0, 50, 259, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123625228775684,777603649637449729,0, 0, 9, 0, 0, 50, 1135, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351000494123545335674561,777590487575953411,0, 0, 10, 0, 0, 100, 581, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123542143824447,777597133232537601,0, 0, 0, 0, 0, 50, 861, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123655325583115,777603962500546561,0, 1, 0, 0, 0, 50, 115, 1, -1, 2, 1, 3524925, 1, 3842
0,1042015:articleMblog_4123312344273699,774940734616240330,0, 36, 0, 0, 0, 50, 41, 1, 9000, 432, 1, 90817, 317, 53
