label,oid,gid,wbcc, len, wbrc, im, vpc, imn, c, nfb, svtype, wrn, sscore, i, wbfc, wcn
0,1042015:articleMblog_4123628162784328,777566261146025985,0.012918379330593071, 0.07556675062972293, 0.06276467029643074, 1, 0, 0.09090909090909091, 0, 0, 9000, 0, 0.09615384615384616, 0, 0.017885129528902, 0
0,1022:2309351000064123568177829789,777599687798554625,0, 0.06905041031652989, 0, 1, 0, 0.1, 0, 0, 2, 0.07954545454545454, 0.05263157894736842, 0, 0, 0
0,1022:2309614123667830310344,777604795856846849,0, 0.07016674921578339, 0, 0, 0, 0, 0, 0, -1, 0.04242424242424243, 0.0625, 0, 0, 0
0,1022:2309351002794123575274599634,777598100539703300,0, 0.09361135758651287, 0, 0, 0, 0, 0, 0, 3, 0.026143790849673203, 0.1, 0, 0, 0
0,1022:2309614123629276270863,777603649637449729,0, 0.05722797115083098, 0, 0, 0, 0, 0, 0, -1, 0.03591160220994475, 0.05555555555555555, 0, 0, 0
0,1042015:articleMblog_4123648979598323,777566261146025985,0, 0.0654911838790932, 0.00045372050816696913, 1, 0, 0.09090909090909091, 0, 0, 1000, 0, 0.09615384615384616, 0, 0.0008297225039181341, 0
0,1042015:articleMblog_4123692768709137,777591401331818498,0.005494505494505495, 0.07992448080553807, 0.004405286343612335, 1, 0.07692061335538133, 0.07692307692307693, 0, 0, 3, 0, 0.07575757575757576, 0, 0.022988505747126436, 0.07692307692307693
0,1022:2309614123632359067359,777603380799340547,0, 0.08987269618088542, 0, 0, 0, 0, 0, 0, -1, 0.19047619047619047, 0.07142857142857142, 0, 0, 0
0,1022:2309614123693168094267,777582190638661633,0, 0.04997612605443259, 0, 0, 0, 0, 0, 0, -1, 0.03759398496240601, 0.050761421319796954, 0, 0, 0
0,1022:2309614123642786150914,777600076358877186,0, 0.06281274154835036, 0, 1, 0, 0.07692307692307693, 0, 0, -1, 0.06504065040650407, 0.05714285714285714, 0, 0, 0
0,1042015:articleMblog_4123655564498005,776933131692802050,0, 0.07730263157894737, 0.00012185215272136474, 1, 0.10612606817740881, 0.05555555555555555, 0, 0, 3, 0, 0.0546448087431694, 0, 0.00010220072221843701, 0.10805969046651645
0,1042015:articleMblog_4123577042699090,777569657791447041,0.002863278453829635, 0.07661290322580645, 0.0074866310160427805, 1, 0.08333845974964563, 0.08333333333333333, 0, 0, 3, 0, 0.1111111111111111, 0, 0.01592920353982301, 0.08333910921970085
0,1022:2309614123623441979986,777601221772967940,0, 0.1405262384242246, 0, 0, 0, 0, 0, 0, -1, 0.05202312138728324, 0.07142857142857142, 0, 0, 0
0,1022:2309614123662092502582,777602919627227137,0, 0.09202085004009623, 0, 1, 0, 0.1111111111111111, 0, 0, -1, 0.09762532981530343, 0.07692307692307693, 0, 0, 0
0,1022:2309614123659181660443,777602958281932803,0, 0.08292160737812912, 0, 0, 0, 0, 0, 0, -1, 0.001953125, 0.058823529411764705, 0, 0, 0
0,1022:2309614123560024106185,777601347534979074,0, 0.06993116395494368, 0, 0, 0, 0, 0, 0, -1, 0, 0.058823529411764705, 0, 0, 0
0,1022:2309614123660800685795,777578851570024451,0, 0.09012617664730622, 0, 0, 0, 0, 0, 0, -1, 0.004672897196261682, 0.07142857142857142, 0, 0, 0
0,1022:2309614123669403192382,777602986870308865,0, 0.09115720524017468, 0, 0, 0, 0, 0, 0, -1, 0.08695652173913043, 0.07692307692307693, 0, 0, 0
0,1022:2309351001014123528013199310,777598100539703300,0, 0.09020999704229518, 0, 1, 0, 0.1, 0, 0, 3, 0.8496732026143791, 0.1, 0, 0, 0
0,1042015:articleMblog_4123623171722542,777595080642396163,0.09523809523809523, 0.08833922261484099, 0.08695652173913043, 1, 0.09090893166963131, 0.09090909090909091, 0, 0, 1, 0, 0.125, 0, 0.012738853503184714, 0.09090909090909091
0,1042015:articleMblog_4123575181043841,777601935141765123,0.005063291139240506, 0.0683111954459203, 0.0019646365422396855, 1, 0.08634543951356952, 0.0625, 0, 0, 9000, 0, 0.062111801242236024, 0, 0.03234501347708895, 0.0876940967234421
0,1022:2309614123560414182471,777601697037942789,0, 0.08721997796547926, 0, 0, 0, 0, 0, 0, -1, 0, 0.054945054945054944, 0, 0, 0
0,1022:2309614123539144856415,777597134440497153,0, 0.07386322166265236, 0, 1, 0, 0.13559322033898305, 0, 0, -1, 0, 0.04950495049504951, 0, 0, 0
0,1022:2309614123623441970015,777595169224523778,0, 0.09441961727970666, 0, 1, 0, 0.05263157894736842, 0, 0, -1, 0.017241379310344827, 0.07142857142857142, 0, 0, 0
0,1022:2309614123632954667881,777601047692574722,0, 0.11072928598701795, 0, 0, 0, 0, 0, 0, -1, 0.29292929292929293, 0.07092198581560284, 0, 0, 0
0,1022:2309614123676562818988,777604479639879682,0, 0.0784297100220451, 0, 0, 0, 0, 0, 0, -1, 0.06153846153846154, 0.07142857142857142, 0, 0, 0
0,1022:2309404123564205830238,777593412180246531,0, 0.06597057427622212, 0, 1, 0, 0.09090909090909091, 0, 0, 7, 1.0, 0.06666666666666667, 0, 0, 0
0,1042015:articleMblog_4123568759765606,776097547281760433,0.9032258064516129, 0.0916030534351145, 0.754325259515571, 1, 0.0909071452838341, 0.09090909090909091, 0, 0, 9000, 0, 0.09090909090909091, 0, 0.9256308100929614, 0.09090909090909091
0,1022:2309351000124123543746012852,777600549610586113,0, 0.08691113141067468, 0, 1, 0, 0.1, 0, 0, 3, 0.00209570380719525, 0.14285714285714285, 0, 0, 0
0,1022:2309614123641221639459,777603332212523010,0, 0.04541581458759373, 0, 1, 0, 0.04878048780487805, 0, 0, -1, 0.009704455227172474, 0.056818181818181816, 0, 0, 0
0,1022:2309351002844123618564001538,777597132829884417,0, 0.09438114966338684, 0, 0, 0, 0, 0, 0, 3, 0.23684210526315788, 0.057291666666666664, 0, 0, 0
0,1022:2309351000474123637610318190,777596203506335745,0, 0.0539609644087256, 0, 1, 0, 0.05555555555555555, 0, 0, 3, 0.02734375, 0.10582010582010581, 0, 0, 0
0,1022:2309614123544647799170,777600699531788289,0, 0.09210526315789473, 0, 0, 0, 0, 0, 0, -1, 0, 0.07692307692307693, 0, 0, 0
0,1022:2309614123697404325080,777599065967820803,0, 0.06068335508363981, 0, 0, 0, 0, 0, 0, -1, 0.08424908424908426, 0.045454545454545456, 0, 0, 0
0,1042015:articleMblog_4123652868512101,777577860642111490,0, 0.09584295612009237, 0.0008312551953449709, 1, 0.0995688620748534, 0.09090909090909091, 0, 0, 3, 0, 0.08771929824561403, 0, 0.002785515320334262, 0.09939677068214804
